"Product Name","SKU(s)","Printer Brand","Compatible Models (parsed)","Client: Correct? (Y/N)","Client: Notes"
"HP 123 XL","HP-123XL-K / HP-123XL-CLR","HP","HP 2130 / 2131","",""
"Samsung CLT-506L","SAM-CLT506L-K / SAM-CLT506L-C / SAM-CLT506L-M / SAM-CLT506L-Y","Samsung","CLP 680 / CLX 6260","",""
"Samsung CLT-504","SAM-CLT504-K / SAM-CLT504-C / SAM-CLT504-M / SAM-CLT504-Y","Samsung","CLP415 / CLX4195 / C1860","",""
"Samsung CLT-409","SAM-CLT409-K / SAM-CLT409-C / SAM-CLT409-M / SAM-CLT409-Y","Samsung","CLP310 / 315","",""
"Samsung CLT-407","SAM-CLT407-K / SAM-CLT407-C / SAM-CLT407-M / SAM-CLT407-Y","Samsung","CLP320 / 325 / CLX3185","",""
"Samsung CLT-406","SAM-CLT406-K / SAM-CLT406-C / SAM-CLT406-M / SAM-CLT406-Y","Samsung","CLP365 / CLX3305 / C410 / C460","",""
"Samsung CLT-404","SAM-CLT404-K / SAM-CLT404-C / SAM-CLT404-M / SAM-CLT404-Y","Samsung","C430 / C480","",""
"Canon 045","CAN-045-K / CAN-045-C / CAN-045-M / CAN-045-Y","Canon","MF632 / 634 / 635 / LBP611 / 613","",""
"Canon 731","CAN-731-K / CAN-731-C / CAN-731-M / CAN-731-Y","Canon","MF628 / 8280 / LBP7100","",""
"Canon 729","CAN-729-K / CAN-729-C / CAN-729-M / CAN-729-Y","Canon","LBP 7000 Series","",""
"Canon 718","CAN-718-K / CAN-718-C / CAN-718-M / CAN-718-Y","Canon","MF8300 Series / LBP7200 / 7600","",""
"Canon 716","CAN-716-K / CAN-716-C / CAN-716-M / CAN-716-Y","Canon","LBP5050 / MF8030 / 8040 / 8050 / 8080","",""
"Brother TN369","BRO-TN369-K / BRO-TN369-C / BRO-TN369-M / BRO-TN369-Y","Brother","HL L8350 / MFC L8600 / L8850","",""
"Generic Brother TN265","BRO-TN265-C / BRO-TN265-M / BRO-TN265-Y","Brother","HL3150 / 3170 / MFC9140 / 9330","",""
"Generic Brother TN348","BRO-TN348-K / BRO-TN348-C / BRO-TN348-M / BRO-TN348-Y","Brother","MFC9460 / 9970 / HL4150","",""
"Generic Brother TN240","BRO-TN240-K / BRO-TN240-C / BRO-TN240-M / BRO-TN240-Y","Brother","MFC9120 / 9320 / HL3040","",""
"Brother TN 2500XL","BRO-TN2500XL","Brother","MFC-L2800DW / L2827DWXL / L2860DWE / DCP-L2660 / L2627DWE","",""
"HP 136X","HP-136X","HP","M211d / M236d / M236sdw","",""
"Brother TN 3607XXL","BRO-TN3607XXL","Brother","MFC-L5710 / HL-L5210 / 6210 / 5510 / 6710 / 6910","",""
"HP CF289X","HP-CF289X","HP","Enterprise M507 / 528","",""
"HP 120A Drum Unit","HP-120ADRUMUNIT","HP","150 / MFP178 / MFP179","",""
"OKI B432","OKI-B432","OKI","B412dn / B432dn / B512dn / MB492 / MB472","",""
"Canon 056","CAN-056","Canon","LBP320 / 325 / MF540 Series / M542 / MF543 / MF441 / 443 / 449dw","",""
"Canon 056H","CAN-056H","Canon","LBP320 / 325 / MF540 Series / M542 / MF543 / MF441 / 443 / 449","",""
"HP CF289A","HP-CF289A","HP","Enterprise M507 / 528","",""
"HP 145A","HP-145A","HP","Pro 3003 / MFP3103","",""
"HP 105A","HP-105A","HP","107a / 107r / 107w / 135a / 137fnw","",""
"Canon 070H","CAN-070H","Canon","LBP243 / 246 / 244 / 241 MF461 / 463 / 465 / 467","",""
"Canon T06","CAN-T06","Canon","iR1643i & iR1643iF","",""
"HP 150A","HP-150A","HP","M111a / 141a / 140a / 139(150A)","",""
"HP 147A","HP-147A","HP","Enterprise M610 / M611 / M634 / M635 / M636","",""
"Pantum TL5120H","PAN-TL5120H","Pantum","BP5100","",""
"Pantum DL-5120","PAN-DL5120","Pantum","BP5100 / P3300 / BM5100","",""
"Brother DR3405","BRO-DR3405","Brother","HL-L5200 / 6200 / MFC L5700DN","",""
"Brother DR 3607","BRO-DR3607","Brother","HL-L5210 / 6210 / MFC L6710","",""
"Brother TN 3607","BRO-TN3607","Brother","MFC-L5710 / HL-L5210 / 6210","",""
"HP CF325X","HP-CF325X","HP","M806 / M830","",""
