"Product Name","SKU(s)","Brand","Compatible Printer Models","Status","Client: Correct? (Y/N)","Client: Notes / Corrections"
"Canon 045","CAN-045-K / CAN-045-C / CAN-045-M / CAN-045-Y","Canon","MF632 / 634 / 635 / LBP611 / 613","PARSED — confirm","",""
"Canon 731","CAN-731-K / CAN-731-C / CAN-731-M / CAN-731-Y","Canon","MF628 / 8280 / LBP7100","PARSED — confirm","",""
"Canon 729","CAN-729-K / CAN-729-C / CAN-729-M / CAN-729-Y","Canon","LBP 7000 Series","PARSED — confirm","",""
"Canon 718","CAN-718-K / CAN-718-C / CAN-718-M / CAN-718-Y","Canon","MF8300 Series / LBP7200 / 7600","PARSED — confirm","",""
"Canon 716","CAN-716-K / CAN-716-C / CAN-716-M / CAN-716-Y","Canon","LBP5050 / MF8030 / 8040 / 8050 / 8080","PARSED — confirm","",""
"Brother TN369","BRO-TN369-K / BRO-TN369-C / BRO-TN369-M / BRO-TN369-Y","Brother","HL L8350 / MFC L8600 / L8850","PARSED — confirm","",""
"Generic Brother TN265","BRO-TN265-C / BRO-TN265-M / BRO-TN265-Y","Brother","HL3150 / 3170 / MFC9140 / 9330","PARSED — confirm","",""
"Generic Brother TN348","BRO-TN348-K / BRO-TN348-C / BRO-TN348-M / BRO-TN348-Y","Brother","MFC9460 / 9970 / HL4150","PARSED — confirm","",""
"Generic Brother TN240","BRO-TN240-K / BRO-TN240-C / BRO-TN240-M / BRO-TN240-Y","Brother","MFC9120 / 9320 / HL3040","PARSED — confirm","",""
"Brother TN 2500XL","BRO-TN2500XL","Brother","MFC-L2800DW / L2827DWXL / L2860DWE / DCP-L2660 / L2627DWE","PARSED — confirm","",""
"HP 136X","HP-136X","HP","M211d / M236d / M236sdw","PARSED — confirm","",""
"Brother TN 3607XXL","BRO-TN3607XXL","Brother","MFC-L5710 / HL-L5210 / 6210 / 5510 / 6710 / 6910","PARSED — confirm","",""
"HP CF289X","HP-CF289X","HP","Enterprise M507 / 528","PARSED — confirm","",""
"HP 120A Drum Unit","HP-120ADRUMUNIT","HP","150 / MFP178 / MFP179","PARSED — confirm","",""
"OKI B432","OKI-B432","OKI","B412dn / B432dn / B512dn / MB492 / MB472","PARSED — confirm","",""
"Canon 056","CAN-056","Canon","LBP320 / 325 / MF540 Series / M542 / MF543 / MF441 / 443 / 449dw","PARSED — confirm","",""
"Canon 056H","CAN-056H","Canon","LBP320 / 325 / MF540 Series / M542 / MF543 / MF441 / 443 / 449","PARSED — confirm","",""
"HP CF289A","HP-CF289A","HP","Enterprise M507 / 528","PARSED — confirm","",""
"HP 145A","HP-145A","HP","Pro 3003 / MFP3103","PARSED — confirm","",""
"HP 105A","HP-105A","HP","107a / 107r / 107w / 135a / 137fnw","PARSED — confirm","",""
"Canon 070H","CAN-070H","Canon","LBP243 / 246 / 244 / 241 MF461 / 463 / 465 / 467","PARSED — confirm","",""
"Canon T06","CAN-T06","Canon","iR1643i & iR1643iF","PARSED — confirm","",""
"HP 150A","HP-150A","HP","M111a / 141a / 140a / 139(150A)","PARSED — confirm","",""
"HP 147A","HP-147A","HP","Enterprise M610 / M611 / M634 / M635 / M636","PARSED — confirm","",""
"Pantum TL5120H","PAN-TL5120H","Pantum","BP5100","PARSED — confirm","",""
"Pantum DL-5120","PAN-DL5120","Pantum","BP5100 / P3300 / BM5100","PARSED — confirm","",""
"Brother DR3405","BRO-DR3405","Brother","HL-L5200 / 6200 / MFC L5700DN","PARSED — confirm","",""
"Brother DR 3607","BRO-DR3607","Brother","HL-L5210 / 6210 / MFC L6710","PARSED — confirm","",""
"Brother TN 3607","BRO-TN3607","Brother","MFC-L5710 / HL-L5210 / 6210","PARSED — confirm","",""
"HP CF325X","HP-CF325X","HP","M806 / M830","PARSED — confirm","",""
"HP CF259X","HP-CF259X","HP","M304 / 404 / 428 / 430","PARSED — confirm","",""
"Canon 057H","CAN-057H","Canon","LBP226DW / 223DW / MF443DW","PARSED — confirm","",""
"Canon 071H","CAN-071H","Canon","LBP120dw / 122dw / MF272 / MF275","PARSED — confirm","",""
"HP 136A","HP-136A","HP","M209 / M211dw / M233 / M234 / M236","PARSED — confirm","",""
"HP 151X","HP-151X","HP","Pro MFP 4103fdw / Pro 4003dw","PARSED — confirm","",""
"HP 151A","HP-151A","HP","Pro MFP 4103dw / Pro 4003dn","PARSED — confirm","",""
"Kyocera TK 1140","KYO-TK1140","Kyocera","ECOSYS FS1035 / 1135 / M2035 / M2535","PARSED — confirm","",""
"Kyocera TK 6305","KYO-TK6305","Kyocera","Ecosys 3500","PARSED — confirm","",""
"Pantum TL5120","PAN-TL5120","Pantum","BP5100","PARSED — confirm","",""
"Ricoh 1270D","RIC-1270D","Ricoh","MP 201 / MP 161 / MP 171","PARSED — confirm","",""
"Kyocera TK 7125","KYO-TK7125","Kyocera","Taskalfa 3212","PARSED — confirm","",""
"HP CF287A","HP-CF287A","HP","Laserjet Pro M501 / Enterprise M527","PARSED — confirm","",""
"HP CF237A","HP-CF237A","HP","Enterprise M607 / M608","PARSED — confirm","",""
"HP CE390A","HP-CE390A","HP","Enterprise M4555f / Enterprise 600 Series","PARSED — confirm","",""
"HP Q5949X","HP-Q5949X","HP","1320","PARSED — confirm","",""
"Canon 049","CAN-049","Canon","MF112 / MF113 / LBP113w","PARSED — confirm","",""
"Canon 047","CAN-047","Canon","MF112 / MF113 / LBP113w","PARSED — confirm","",""
"HP CE314A Drum","HP-CE314ADRUM","HP","Pro 100 M175 / M275 / CP1025","PARSED — confirm","",""
"HP CF232A Drum Unit","HP-CF232ADRUMUNIT","HP","M203 / M227","PARSED — confirm","",""
"HP 207A Yellow W2212","HP-207AYELLOWW2212","HP","M255DW / M282NW / M283FDN","PARSED — confirm","",""
"HP 207A Magenta W2213","HP-207AMAGENTAW2213","HP","M255DW / M282NW / M283FDN","PARSED — confirm","",""
"HP 207A Cyan W2211","HP-207ACYANW2211","HP","M255DW / M282NW / M283FDN","PARSED — confirm","",""
"HP Q5949A","HP-Q5949A","HP","1160 / 1320 / P2014 / P2015 / M2727","PARSED — confirm","",""
"Pantum PC252H","PAN-PC252H","Pantum","P2512","PARSED — confirm","",""
"Pantum DL425X","PAN-DL425X","Pantum","M7105 / P3305","PARSED — confirm","",""
"Pantum DL410","PAN-DL410","Pantum","P3010 / P3300 / M6700 / M7100","PARSED — confirm","",""
"Pantum TL425X","PAN-TL425X","Pantum","M7105 / P3305","PARSED — confirm","",""
"Canon 071","CAN-071","Canon","LBP122 / MF272 / MF275","PARSED — confirm","",""
"Kyocera TK 3060","KYO-TK3060","Kyocera","Ecosys M3145 / 3645","PARSED — confirm","",""
"Kyocera TK 6115","KYO-TK6115","Kyocera","Ecosys M4125 / M4132","PARSED — confirm","",""
"HP 207A Black W2210","HP-207ABLACKW2210","HP","M255DW / M282NW / M283FDN","PARSED — confirm","",""
"Canon 057","CAN-057","Canon","LBP226DW / 223DW / MF443DW","PARSED — confirm","",""
"Kyocera TK 3130","KYO-TK3130","Kyocera","Kyocera Mita FS-4200DN / FS-4300DN / Ecosys M3550idn / M3560idn","PARSED — confirm","",""
"Ricoh SP 311","RIC-SP311","Ricoh","SP 311HE SP 311SFN / SP 311SFNw / 325","PARSED — confirm","",""
"Kyocera TK 4105","KYO-TK4105","Kyocera","TASKalfa 1800 / TASKalfa 2200 / TASKalfa 1801 / TASKalfa 2201","PARSED — confirm","",""
"Kyocera TK 3100","KYO-TK3100","Kyocera","Kyocera Mita FS-2100DN / FS-2100D / ECOSYS M3040dn / ECOSYS M3540dn","PARSED — confirm","",""
"Kyocera TK 1170","KYO-TK1170","Kyocera","ECOSYS M2040dn / M2540dn / M2640idw","PARSED — confirm","",""
"Ricoh MP 301","RIC-MP301","Ricoh","MP 301SP / MP 301SPF / Ricoh MP301SP / MP301SPF","PARSED — confirm","",""
"Pantum PC310H","PAN-PC310H","Pantum","P3100DL / 3255DN","PARSED — confirm","",""
"Pantum PC210H","PAN-PC210H","Pantum","P2200 / P2500 / M6500 / M6600","PARSED — confirm","",""
"Pantum TL410X","PAN-TL410X","Pantum","P3300 / M7100 / M7200 Series","PARSED — confirm","",""
"HP CE255X","HP-CE255X","HP","P3010 / 3015","PARSED — confirm","",""
"HP CF259A","HP-CF259A","HP","M304 / 404","PARSED — confirm","",""
"HP 106A","HP-106A","HP","107A / 135A / 137A","PARSED — confirm","",""
"HP 106X","HP-106X","HP","107A / 135A / 137A","PARSED — confirm","",""
"Canon 052 Black High Capacity","CAN-052BLACKHIGHCAPACITY","Canon","MF424 / 426 / 429 / LBP214 / 215","PARSED — confirm","",""
"Brother TN 1000","BRO-TN1000","Brother","HL-1210 / DCP-1610 / MFC 1910","PARSED — confirm","",""
"Brother DR 1000","BRO-DR1000","Brother","HL-1210 / DCP-1610 / MFC 1910","PARSED — confirm","",""
"Brother TN 2355","BRO-TN2355","Brother","HL-L2365 / MFC L2740","PARSED — confirm","",""
"Brother DR 2305","BRO-DR2305","Brother","HL-L2365 / MFC L2740","PARSED — confirm","",""
"Brother TN 2060","BRO-TN2060","Brother","HL-2130 / DCP-7055","PARSED — confirm","",""
"Generic Brother DR-2255","BRO-DR2255","Brother","HL-2130 / 2270 / MFC 7360 / 7860","PARSED — confirm","",""
"Brother TN 2280","BRO-TN2280","Brother","MFC 7360 / MFC 7860 / HL 2270","PARSED — confirm","",""
"Brother TN 3467","BRO-TN3467","Brother","HL-L5700 / 5900","PARSED — confirm","",""
"Generic Brother TN-3185","BRO-TN3185","Brother","HL-5240 / 5250 / 5270 / MFC8460 / 8860","PARSED — confirm","",""
"Generic Brother TN-2150","BRO-TN2150","Brother","DCP7030 / MFC7320 / 7440 / HL 2140 / 2150","PARSED — confirm","",""
"Brother TN 3290","BRO-TN3290","Brother","HL-5340 / 5350 / 5380 / MFC8370 / 8380","PARSED — confirm","",""
"Generic Brother TN-3350","BRO-TN3350","Brother","DCP8100 / 8200 Series / HL 5400 Series","PARSED — confirm","",""
"Samsung MLT 111L","SAM-MLT111L","Samsung","M2020 / 2070","PARSED — confirm","",""
"Samsung MLT-D101S","SAM-MLTD101S","Samsung","ML2160 / SCX3405","PARSED — confirm","",""
"Samsung MLT-D104S","SAM-MLTD104S","Samsung","ML 1660 / 1670 / 1860 / SCX 3200","PARSED — confirm","",""
"Samsung MLT-D105L","SAM-MLTD105L","Samsung","ML1910 / ML2525 / SCX4623","PARSED — confirm","",""
"Samsung MLT-D116L","SAM-MLTD116L","Samsung","M2675 / 2825 / 2875","PARSED — confirm","",""
"Samsung R116 Drum Unit","SAM-R116DRUMUNIT","Samsung","M2675 / 2825 / 2875","PARSED — confirm","",""
"Samsung MLT-D117S","SAM-MLTD117S","Samsung","SCX 4650 / 4655 / 4656","PARSED — confirm","",""
"Samsung MLT 119","SAM-MLT119","Samsung","SCX4521 / ML1610 / ML2010","PARSED — confirm","",""
"Samsung MLT-D203L","SAM-MLTD203L","Samsung","Pro Express M3320 / 3370 / 4020 / 4070","PARSED — confirm","",""
"Samsung MLT-D205L","SAM-MLTD205L","Samsung","ML3310 / 3710 / SCX4833","PARSED — confirm","",""
"Samsung MLT-D208L","SAM-MLTD208L","Samsung","SCX 5835 / 5635","PARSED — confirm","",""
"Samsung MLT-D209L","SAM-MLTD209L","Samsung","ML2855 / SCX4824 / 4828","PARSED — confirm","",""
"HP CE285A","HP-CE285A","HP","P1102 / M1212 / 1217 / P1005 / 1006 / M1120 / 1522","PARSED — confirm","",""
"HP CF217A","HP-CF217A","HP","M102 / M130","PARSED — confirm","",""
"HP CF226X","HP-CF226X","HP","M402 / M426","PARSED — confirm","",""
"HP CF226A","HP-CF226A","HP","M402 / M426","PARSED — confirm","",""
"HP CF283X","HP-CF283X","HP","M225","PARSED — confirm","",""
"HP CF283A","HP-CF283A","HP","M127 / M225","PARSED — confirm","",""
"HP CF280X","HP-CF280X","HP","Pro 400 M401 / M425","PARSED — confirm","",""
"HP CF280A","HP-CF280A","HP","Pro 400 M401 / M425","PARSED — confirm","",""
"HP CE278A","HP-CE278A","HP","Pro M1536 / P1566","PARSED — confirm","",""
"HP Q2612A","HP-Q2612A","HP","1018 / 1020","PARSED — confirm","",""
"HP CF230X","HP-CF230X","HP","M203","PARSED — confirm","",""
"HP CF219A Drum Unit","HP-CF219ADRUMUNIT","HP","M102 / M130","PARSED — confirm","",""
"HP CF214X","HP-CF214X","HP","Enterprise 700 M712 / M725","PARSED — confirm","",""
"HP CF281A","HP-CF281A","HP","Enterprise M604 / M605","PARSED — confirm","",""
"HP CE505X","HP-CE505X","HP","P2055","PARSED — confirm","",""
"HP CE505A","HP-CE505A","HP","P2035 / 2055","PARSED — confirm","",""
"HP CE255A","HP-CE255A","HP","P3015","PARSED — confirm","",""
"HP Q7551A","HP-Q7551A","HP","P3005 / M3027 / M3035","PARSED — confirm","",""
"HP Q7553X","HP-Q7553X","HP","P2015 / M2727","PARSED — confirm","",""
"HP Q7553A","HP-Q7553A","HP","1160 / 1320 / P2014 / P2015 / M2727","PARSED — confirm","",""
"HP C 15/13/24A","HP-C151324A","HP","1000 / 1200 / 1300 / 1150 / q2613a","PARSED — confirm","",""
"Samsung MLT-D109S","SAM-MLTD109S","Samsung","SCX4300","PARSED — confirm","",""
"Samsung MLT-D108S","SAM-MLTD108S","Samsung","ML1640","PARSED — confirm","",""
"Samsung MLT-D103L","SAM-MLTD103L","Samsung","ML2955 / SCX4726 / 4729","PARSED — confirm","",""
"Canon 728","CAN-728","Canon","MF4410 / 4430 / 4450 / 4730 / 4750","PARSED — confirm","",""
"Canon 737","CAN-737","Canon","MF211 / 212 / 216 / 217 / 237 / 226","PARSED — confirm","",""
"Canon 725","CAN-725","Canon","LBP6000 / 6020 / 6030 / MF3010","PARSED — confirm","",""
"Canon 726","CAN-726","Canon","MF4410 / 4412 / 4420 / 4450 / 4550","PARSED — confirm","",""
"Canon 713","CAN-713","Canon","LBP3250","PARSED — confirm","",""
"Canon 712","CAN-712","Canon","LBP3010 / 3100","PARSED — confirm","",""
"Canon EP-27","CAN-EP27","Canon","MF3110 / 3220 / 5770 / LBP3200","PARSED — confirm","",""
"Canon 703","CAN-703","Canon","LBP2900 / 3000","PARSED — confirm","",""
"Canon FX-10","CAN-FX10","Canon","L95 / L100 / L120","PARSED — confirm","",""
"Xerox 3117","XER-3117","Xerox","Phaser 3117 / 3122 / 3124 / 3125","PARSED — confirm","",""
"Xerox 3010/3040/3045","XER-301030403045","Xerox","Phaser 3010 / 3040 / WorkCentre 3045","PARSED — confirm","",""
"Xerox 3100","XER-3100","Xerox","Phaser 3100","PARSED — confirm","",""
"Xerox 3140","XER-3140","Xerox","Phaser 3140 / 3155 / 3160","PARSED — confirm","",""
"Xerox 3200","XER-3200","Xerox","Phaser 3200","PARSED — confirm","",""
"Lexmark E250","LEX-E250","Lexmark","E250","PARSED — confirm","",""
"Lexmark E260","LEX-E260","Lexmark","E260","PARSED — confirm","",""
"Lexmark E120","LEX-E120","Lexmark","E120","PARSED — confirm","",""
"Generic Brother TN-2025","BRO-TN2025","Brother","Fax2820 / 2920 / HL2030 / 2040 / 2070","PARSED — confirm","",""
"HP 652A Black","HP-652A-K","HP","Enterprise M651 / M680","PARSED — confirm","",""
"Canon 052 Black","CAN-052-K","Canon","MF424 / 426 / 429 / LBP214 / 215","PARSED — confirm","",""
"HP CF543A Magenta","HP-CF543A-M","HP","Pro M254","PARSED — confirm","",""
"HP CF542A Yellow","HP-CF542A-Y","HP","Pro M254","PARSED — confirm","",""
"HP CF541A Cyan","HP-CF541A-C","HP","Pro M254","PARSED — confirm","",""
"HP CF540A Black","HP-CF540A-K","HP","Pro M254","PARSED — confirm","",""
"HP CF533A Magenta","HP-CF533A-M","HP","Pro M154 / M180","PARSED — confirm","",""
"HP CF532A Yellow","HP-CF532A-Y","HP","Pro M154 / M180","PARSED — confirm","",""
"HP CF531A Cyan","HP-CF531A-C","HP","Pro M154 / M180","PARSED — confirm","",""
"HP CF530A Black","HP-CF530A-K","HP","Pro M154 / M180","PARSED — confirm","",""
"HP CF413A Magenta","HP-CF413A-M","HP","Pro M452 / M377 / M477","PARSED — confirm","",""
"HP CF412A Yellow","HP-CF412A-Y","HP","Pro M452 / M377 / M477","PARSED — confirm","",""
"HP CF411A Cyan","HP-CF411A-C","HP","Pro M452 / M377 / M477","PARSED — confirm","",""
"HP CF410A Black","HP-CF410A-K","HP","Pro M452 / M377 / M477","PARSED — confirm","",""
"HP CF403A Magenta","HP-CF403A-M","HP","M252 / M277","PARSED — confirm","",""
"HP CF402A Yellow","HP-CF402A-Y","HP","M252 / M277","PARSED — confirm","",""
"HP CF401A Cyan","HP-CF401A-C","HP","M252 / M277","PARSED — confirm","",""
"HP CF400A Black","HP-CF400A-K","HP","M252 / M277","PARSED — confirm","",""
"HP CE253A Magenta","HP-CE253A-M","HP","CP3520 / 3525 / 3530","PARSED — confirm","",""
"HP CE252A Yellow","HP-CE252A-Y","HP","CP3520 / 3525 / 3530","PARSED — confirm","",""
"HP CE251A Cyan","HP-CE251A-C","HP","CP3520 / 3525 / 3530","PARSED — confirm","",""
"HP CE250A Black","HP-CE250A-K","HP","CP3520 / 3525 / 3530","PARSED — confirm","",""
"HP CE403A Magenta","HP-CE403A-M","HP","Enterprise 500 M575 / M551","PARSED — confirm","",""
"HP CE402A Yellow","HP-CE402A-Y","HP","Enterprise 500 M575 / M551","PARSED — confirm","",""
"HP CE401A Cyan","HP-CE401A-C","HP","Enterprise 500 M575 / M551","PARSED — confirm","",""
"HP CE400A Black","HP-CE400A-K","HP","Enterprise 500 M575 / M551","PARSED — confirm","",""
"HP CF353A Magenta","HP-CF353A-M","HP","Pro M176 / M177","PARSED — confirm","",""
"HP CF352A Yellow","HP-CF352A-Y","HP","Pro M176 / M177","PARSED — confirm","",""
"HP CF351A Cyan","HP-CF351A-C","HP","Pro M176 / M177","PARSED — confirm","",""
"HP CF350A Black","HP-CF350A-K","HP","Pro M176 / M177","PARSED — confirm","",""
"HP CE313A Magenta","HP-CE313A-M","HP","Pro 100 M175 / M275 / CP1025","PARSED — confirm","",""
"HP CE312A Yellow","HP-CE312A-Y","HP","Pro 100 M175 / M275 / CP1025","PARSED — confirm","",""
"HP CE311A Cyan","HP-CE311A-C","HP","Pro 100 M175 / M275 / CP1025","PARSED — confirm","",""
"HP CE310A Black","HP-CE310A-K","HP","Pro 100 M175 / M275 / CP1025","PARSED — confirm","",""
"HP CE413A Magenta","HP-CE413A-M","HP","Pro M351 / 375 / 451","PARSED — confirm","",""
"HP CE412A Yellow","HP-CE412A-Y","HP","Pro M351 / 375 / 451","PARSED — confirm","",""
"HP CE411A Cyan","HP-CE411A-C","HP","Pro M351 / 375 / 451","PARSED — confirm","",""
"HP CE410A Black","HP-CE410A-K","HP","Pro M351 / 375 / 451","PARSED — confirm","",""
"HP CC533A Magenta","HP-CC533A-M","HP","CM2025 / CM2320","PARSED — confirm","",""
"HP CC532A Yellow","HP-CC532A-Y","HP","CM2025 / CM2320","PARSED — confirm","",""
"HP CC531A Cyan","HP-CC531A-C","HP","CM2025 / CM2320","PARSED — confirm","",""
"HP CC530A Black","HP-CC530A-K","HP","CM2025 / CM2320","PARSED — confirm","",""
"HP CF210X Black","HP-CF210X-K","HP","Pro 200 M251 / M276","PARSED — confirm","",""
"HP CF213A Magenta","HP-CF213A-M","HP","Pro 200 M251 / M276","PARSED — confirm","",""
"HP CF212A Yellow","HP-CF212A-Y","HP","Pro 200 M251 / M276","PARSED — confirm","",""
"HP CF211A Cyan","HP-CF211A-C","HP","Pro 200 M251 / M276","PARSED — confirm","",""
